pitch_no,game_date,pa_of_inning,pitch_of_pa,pitcher,pitcher_id,pitcher_throws,batter_side,pitcher_set,inning,top_bottom,outs,balls,strikes,tagged_pitch_type,auto_pitch_type,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,notes,rel_speed,vert_rel_angle,horz_rel_angle,spin_rate,spin_axis,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,zone_speed,vert_appr_angle,horz_appr_angle,zone_time,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0
131,7/8/2018,7,6,Player B,111112,Right,Left,Undefined,4,Bottom,2,3,2,Fastball,Fastball,BallCalled,Walk,Undefined,Undefined,0,1,,93.7230733,-2.946551549,-2.55415389,2378.887293,205.1881237,12:45,6.064247077,2.930071003,6.563350758,-15.17074955,15.72063372,7.885225467,1.86215605,1.129615401,87.46079231,-6.030025283,-1.310429911,0.397386436,-4.206722225,8.352567501,-2.749259135,50,5.72936715,5.90033939,-136.9654112,-7.578602725,-8.120018736,25.67681171,-16.05151872
130,7/8/2018,7,5,Player B,111112,Right,Left,Undefined,4,Bottom,2,3,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,93.52625649,-1.341489844,-3.720573672,2224.948541,199.6137516,12:45,6.176290381,2.981714937,6.468194942,-16.05381195,15.08599171,6.057924003,3.377153274,-0.053470059,87.13468621,-4.591835251,-2.824173894,0.399002301,-3.470971921,7.607361146,-2.709736047,50,5.954103679,8.732050317,-136.6516293,-3.765839799,-6.668693304,25.58004585,-17.55821199
129,7/8/2018,7,4,Player B,111112,Right,Left,Undefined,4,Bottom,2,2,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.98804798,-1.017554722,-4.626458199,2351.545178,199.0584294,12:45,6.086308906,2.934878944,6.553601634,-15.07274568,16.34428233,6.34666243,3.668652702,-0.908636095,86.68239917,-4.086519,-3.676972312,0.400797832,-3.82930916,8.23604312,-2.602802911,50,5.890248813,10.82599624,-135.7553768,-2.934642073,-7.271085254,24.85052487,-16.53546489
128,7/8/2018,7,3,Player B,111112,Right,Left,Undefined,4,Bottom,2,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,94.27311206,-2.130267065,-2.515833296,2321.616148,200.8046371,12:45,6.231243212,2.970601506,6.347807293,-12.35610928,18.5139748,7.676983783,3.008886235,1.17864265,87.46154324,-4.688353446,-1.313504938,0.397247588,-4.090928482,9.653325068,-2.783270932,50,5.947995194,5.841415399,-137.7777278,-5.58247535,-7.956179669,27.23415073,-13.39992699
127,7/8/2018,7,2,Player B,111112,Right,Left,Undefined,4,Bottom,2,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,93.56807467,-1.16949493,-2.776612381,2405.350824,191.5499577,12:30,6.179804774,3.160924152,6.429506154,-14.6256452,16.46702606,4.300873533,3.65881778,0.850194895,87.17823984,-4.152361677,-2.209301047,0.398696229,-2.28971747,8.307274237,-2.955957137,50,5.970179323,6.538420004,-136.8437763,-3.314611213,-4.412340338,25.60096236,-16.16573238
126,7/8/2018,7,1,Player B,111112,Right,Left,Undefined,4,Bottom,2,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.76909749,-2.894585303,-3.202647025,2299.663545,199.3649798,12:45,6.023337447,2.812879507,6.523494096,-14.14370651,17.57759914,6.868287493,1.951272868,0.327376737,86.17663435,-5.790054233,-2.149959175,0.402759368,-3.840116794,9.388516239,-2.582598153,50,5.690458102,7.40371265,-135.4618303,-7.346082449,-7.21898862,26.34349657,-14.52469164
125,7/8/2018,6,5,Player B,111112,Right,Right,Undefined,4,Bottom,1,2,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.99651699,-1.301725009,-3.35925312,2286.916694,198.4909857,12:30,6.038258069,2.653303087,6.634538861,-15.05761155,15.35818958,5.854440276,3.363136222,-0.054815808,88.17021985,-4.365448468,-2.500847045,0.394274509,-3.216849302,7.751676456,-2.417545513,50,5.823859123,7.925691109,-137.4849268,-3.644867099,-6.302075797,23.75235573,-16.98786854
124,7/8/2018,6,4,Player B,111112,Right,Right,Undefined,4,Bottom,1,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,94.14110791,0.185717669,-3.552037149,2275.42933,207.0685078,1:00,6.11679732,2.898372385,6.292355174,-14.17150136,16.73451554,8.97554253,4.885693228,0.251353464,87.54392309,-2.708547223,-2.112533022,0.397481803,-4.987769946,8.096768756,-2.629685763,50,6.00822282,8.281634052,-137.5817638,-0.072697323,-9.719804367,25.74880336,-16.39565277
123,7/8/2018,6,3,Player B,111112,Right,Right,Undefined,4,Bottom,1,1,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.53038964,-1.749467307,-3.954652959,2309.168475,201.7385413,12:45,6.005919529,2.990502768,6.498164161,-13.47975081,17.49183303,7.58564989,3.044710593,-0.131992343,87.55593788,-4.511865204,-2.774699752,0.397908822,-4.292019344,8.982219485,-2.704013553,50,5.755825777,9.243795465,-136.6501196,-4.659108468,-8.293877496,23.90943909,-14.81685091
122,7/8/2018,6,2,Player B,111112,Right,Right,Undefined,4,Bottom,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.02796953,-1.913119121,-2.526691615,2676.459513,48.3985273,7:30,6.148324838,2.704422667,5.892428418,-47.42437485,-4.856026803,-6.060272627,0.189390122,-0.262451387,75.97848016,-10.87495159,-3.895460555,0.467337679,3.259023452,-3.001685013,-2.488282698,50,5.843168852,5.449950102,-118.3839618,-5.458347815,4.647890752,21.55330782,-36.45493337
