player_code,year,vertical_jump_average,rl_lat_broad_jump_average,grip_strength_average,ttest_average
343043,2010,29.4,100.8333333,,
383431,2010,,,,
384144,2010,25.86666667,90.33333333,,
386053,2010,25.9,87.16666667,,
386260,2010,31.4,110.3333333,,
393367,2010,23.53333333,85,,
393988,2016,,,67.95,
439850,2010,,,,
609613,2011,21.2,,,6.72
609613,2012,23.9,70,61.75,9.38
619411,2010,28.46666667,92.66666667,,
833081,2010,30.2,104.8333333,,
833932,2010,,,,
862590,2011,,,,
865741,2010,25.93333333,94.33333333,,
886050,2010,25.2,91.33333333,,
902449,2013,,72,75,10.09
902449,2015,,71.5,52.5,9.985
904358,2010,26.97,98.5,,9.98
905163,2012,,79,76,9.33
905163,2013,,80.5,75,9.47
917537,2014,,73.25,52.5,9.2
940054,2010,32.93333333,117,,
943803,2010,,,,
1239744,2010,25.6,74.83333333,,
1239744,2011,,,,
1239744,2012,,83.125,50,9.31
1239744,2013,,82.75,54,10.15
1239744,2014,,78.25,56,9.83
1239744,2015,,79.25,41,9.95
1239744,2016,,,48.75,
1254096,2010,21.46666667,87.5,,
1256649,2016,,,65.95,
1274198,2012,,65.875,53,9.99
1276406,2010,31.76666667,98.33333333,,
1640496,2010,20,72,,
1640703,2010,,,,
1640703,2011,,,,
1640703,2012,,74.9,62,9.71
1891104,2010,23.46666667,82,,
1891104,2011,,,,
1896969,2010,31,99.33333333,,
1900787,2010,,,,
1901109,2011,,,,
1916910,2010,25.66666667,80,,
1917025,2011,,,,
1917876,2010,,,,
1917876,2015,,54,44,10.02
1925926,2010,25.03333333,75,,
1949432,2010,23.73333333,77.83333333,,
1949432,2011,,,,
1949432,2012,,70.75,58,9.97
1949432,2013,,74.25,51,10.21
1949432,2015,,74.875,43,10.075
1949432,2016,,,52.15,
1950053,2016,,,57.4,
2401474,2010,24.63333333,87.16666667,,
2401819,2010,33.5,111.3333333,,8.64
2401819,2011,32.7,113,,6.16
2401819,2014,,74.25,62,9.02
2401819,2015,,79.75,,9.42
2401819,2016,,,62.6,
2402210,2016,,,57,
2415274,2013,,67.25,52,11.01
2417229,2013,,,,
2422910,2010,35.56666667,119,,
2422910,2011,,,,
2429396,2010,,,,
2429396,2011,35.9,128.1666667,,
2429396,2013,,,,
2469462,2010,26.93333333,80.16666667,,
2469462,2011,,,,
2473004,2010,28.6,103.3333333,,8.73
2473004,2011,29.5,98.5,,6.83
2473004,2012,28.9,82,51.5,9.3
2473004,2013,,80.65,57,9.535
2473004,2014,,,,
2473004,2016,,,,
2474729,2010,25.2,104,,9.31
2474729,2011,,,,
2475856,2010,24.47,94,,9.42
2475856,2011,25.8,98.16666667,,6.23
2476638,2010,22.36666667,90.16666667,,
2476638,2012,,73.4,63,10.09
2476638,2014,,75,72,9.78
2478823,2010,31.7,99.66666667,,
2478823,2011,,,,
2488391,2010,31.63333333,105,,
2489426,2010,24.6,91.16666667,,
2493474,2010,,,,
2493796,2010,,,,
2494302,2010,,,,
2497752,2010,21.73,84.33333333,,9.38
2497752,2011,23.6,92.83333333,,6.56
2497821,2017,27,69.5,45,10.09
2499454,2016,,,,
2499546,2010,31.36666667,102.5,,
2499546,2011,,,,
2499546,2012,32,79.9,48.5,8.74
2499546,2014,,80,50,8.68
2501524,2012,,63,59,9.77
2504514,2014,23,66.5,82,10.19
2504514,2015,,73.375,51.5,10.98
2504514,2016,,,66.5,
2506446,2010,25.13333333,78.83333333,,
2506446,2011,24.4,77.66666667,,10.42
2506446,2013,,,54,
2507987,2012,,71.875,61,10.07
2514956,2010,,,,
2514956,2011,,,,
2514956,2012,,81.25,60,9.69
2517325,2011,,,,
2522477,2010,30.4,101.5,,
2522477,2011,,,,
2522477,2012,,74.75,47,
2522477,2013,,78.25,44.5,9.28
2522477,2014,,76,50,9.28
2522477,2015,,71.5,39,9.04
2524133,2011,,,,
2524133,2013,,73.25,56,10.43
2524133,2014,,71,56.5,10
2534828,2010,26.86666667,100.6666667,,
2539405,2010,27.47,99.66666667,,9.48
2539405,2011,,,,
2539405,2012,29.3,78.9,58,9.38
2540325,2010,22,84.66666667,,
2540486,2010,27.5,96.33333333,,
2540486,2011,,,,
2540486,2012,,72.65,61,9.69
2540532,2012,,69.5,59,9.68
2541567,2010,24.83333333,95.66666667,,
2541567,2013,,62.4,59,9.88
2542648,2010,27.9,101.6666667,,
2542648,2012,29.3,73,58.5,9.635
2542740,2010,31.4,97.83333333,,9.29
2544074,2010,24.76666667,77.66666667,,
2544718,2010,29.56666667,94,,
2553734,2012,,80.875,55,9.25
2553734,2013,,85,54,9.25
2553734,2014,,85,51.5,9.06
2553734,2015,33,83.5,46,9.29
2553734,2016,,,33,
2554033,2010,,,,
2554033,2011,,,,
2554033,2012,,76.75,59,9.37
2557920,2016,,,41.8,
2567764,2010,22.46666667,85.16666667,,
2567764,2011,,,,
2567764,2012,,77.75,61,9.63
2567764,2013,,80.5,62,10.1
2567764,2014,,78,60.5,9.48
2570133,2016,,,59.4,
2570823,2010,,,,
2581932,2010,31.8,112.6666667,,
2582024,2010,31.36666667,102.6666667,,
2582024,2011,,,,
2582231,2016,,,65.4,
2583703,2010,22.9,77,,
2587084,2010,25.07,95.5,,9.09
2587084,2011,,,,
2588855,2010,23.26666667,94.33333333,,
2588855,2011,,,,
2589177,2010,25.86666667,89.33333333,,
2589177,2011,,,,
2589177,2012,,78.75,60,9.94
2594835,2016,,,61.2,
2597733,2010,23,80,,
2597733,2011,23.3,82.66666667,,10.2
2597733,2012,,83.625,62,10.08
2597733,2013,,,,
2597733,2014,,81.5,56.5,10.48
2597733,2015,,84.875,74,10.35
2600815,2010,,,,
2600815,2016,,,60.6,
2600907,2010,28.43333333,102.8333333,,
2601068,2010,25.9,97.5,,
2601068,2014,,68.5,58,
2601896,2010,26.97,104.5,,9.4
2601896,2011,,,,
2601896,2012,,,58.75,9.34
2601896,2013,,80.25,58,9.635
2602057,2010,29.33,102.5,,9.12
2602057,2011,29.1,102.3333333,,6.54
2602057,2012,,,,
2602057,2013,,73.65,50,9.43
2602701,2010,28.1,99.16666667,,9.1
2602885,2011,,,,
2611510,2011,,,,
2611510,2012,,90.5,51,9.06
2611510,2013,,94.5,48,9.32
2611510,2014,,,58,
2611510,2015,,,46.5,
2615857,2011,,,,
2615857,2012,,70,63,10.27
2615857,2013,,73,64,10.13
2615857,2014,,72.625,64,9.91
2617789,2016,,,52.5,
2624804,2010,24.66666667,87.66666667,,10.045
2624804,2011,,,,
2625057,2011,,,,
2627794,2010,28.93333333,98.5,,
2627794,2011,,,,
2627794,2012,,,62,
2627794,2013,,79.625,61,9.39
2627794,2014,,82.75,60,
2627794,2015,,,49.5,
2627794,2016,,,61.65,
2628369,2010,29.4,101.6666667,,
2628921,2010,28.06666667,101.3333333,,10.22
2628921,2011,,,,
2629680,2010,28,98,,10.555
2629680,2011,26.1,98.33333333,,9.12
2629680,2012,,80,,8.96
2629680,2013,,81.25,45,8.91
2630968,2010,25.33333333,88,,10.375
2631911,2010,23.73333333,100.3333333,,11.24
2631911,2011,26.2,88.16666667,,8.86
2631911,2012,,90.4,58,9.5
2632325,2010,28.26666667,92.16666667,,9.91
2632325,2011,30.3,99.16666667,,9.1
2632325,2012,,74.5,51,9.57
2632371,2010,28.9,93.66666667,,10.235
2632371,2011,,,,
2632371,2012,,81,61,9.21
2634211,2011,,,,
2634211,2012,,80.25,62,8.96
2634602,2010,25.1,98.5,,
2634602,2011,,,,
2634602,2013,,75.5,68.5,9.27
2635959,2015,,73.75,53,9.76
2636580,2010,31.53333333,105.1666667,,10.375
2636695,2011,,,,
2642353,2011,,,,
2642353,2012,,75,62,9.45
2642353,2013,,80.25,67,10.03
2642353,2014,,77.75,64.5,9.5
2643273,2010,25.53333333,95,,10.145
2643273,2011,,,,
2643273,2012,,79.5,44,9.38
2643273,2013,,73.5,51,9.6
2646010,2016,,,54.85,
2646401,2010,27,87.83333333,,9.775
2646401,2011,28.7,94.5,,6.49
2646677,2016,,,50.25,
2647666,2010,23.2,82.5,,10.52
2647666,2011,22.7,91.83333333,,9.86
2647666,2012,27.1,70.25,65,10.185
2648011,2010,23.3,87.83333333,,
2648770,2011,,,,
2648770,2013,,80.5,58,10
2648770,2014,,78.25,71.5,9.64
2649322,2011,,,,
2649322,2012,,73.75,44,9.28
2649322,2013,,83.75,50,9.13
2649322,2014,,83.625,55,9.15
2649322,2015,,80.125,41,8.8
2649322,2016,,,47.7,
2649828,2013,,63.5,65,
2649828,2014,,71.5,62,10.14
2649828,2015,,71.375,47.5,9.945
2661374,2012,,78.75,51,9.22
2661374,2013,,75,52,9.23
2661374,2014,,68.05,56.5,9.68
2677359,2010,,,,
2677359,2011,,,,
2677750,2010,,,,
2677750,2011,30.7,102.3333333,,9.51
2677750,2012,,78.125,68,9.69
2677750,2013,,71,60,9.91
2677865,2010,,,,
2677865,2011,,,,
2678417,2010,,,,
2678417,2011,,,,
2678417,2012,,75.25,59,9.38
2678624,2010,,,,
2678624,2011,,,,
2678624,2012,,71,54,10.15
2678624,2013,,69,48,10.21
2678785,2010,,,,
2678785,2011,,,,
2678785,2012,,75.15,56,9.47
2678785,2013,,81,57,9.82
2678785,2014,30.5,73.25,61,9.6
2678785,2015,,,54,
2678785,2016,,,57.65,
2678946,2010,,,,
2679061,2010,,,,
2679061,2011,,,,
2679268,2010,,,,
2680763,2010,,,,
2680763,2011,,,,
2680763,2012,,78.375,55,9.58
2680763,2013,,82.75,54,9.09
2680763,2014,,82,67,9.02
2682143,2010,,,,
2682143,2011,,,,
2682143,2012,,83.15,64,9.26
2682143,2013,,79.5,69.5,8.98
2682143,2014,32.25,84,78,8.95
2683132,2010,,,,
2683132,2011,,,,
2683132,2012,,80.625,67,9.64
2683201,2010,,,,
2683201,2011,,,,
2683201,2012,,80.75,69,9.07
2683201,2013,,84.5,72.5,9.42
2683201,2014,,,81.5,
2683201,2015,,81.625,59,9.485
2683822,2010,,,,
2683822,2011,,,,
2684857,2010,,,,
2684857,2011,,,,
2684857,2012,,82.875,66,9.57
2684857,2014,,85,57.5,9.64
2684857,2015,,84.75,,9.275
2688744,2010,,,,
2688744,2011,,,,
2688744,2012,,75.25,50,10.2
2688744,2013,,78.25,55.5,10.05
2688951,2015,,79.625,49,9.11
2689802,2011,,,,
2689802,2012,,77.375,57,9.88
2693321,2011,,,,
2693321,2012,,72,62,9.84
2693321,2013,,74,65,9.57
2693321,2014,,80.375,69,9.63
2694494,2010,,,,
2694494,2012,30.5,70.65,58.75,9.565
2694494,2013,,72.75,55,9.21
2695322,2011,31.5,109.3333333,,9.18
2695322,2012,,,62,
2695322,2013,,79.75,62.5,9.17
2695322,2014,,82.4,64.5,9.72
2695322,2016,,,71.1,
2695805,2015,,,,
2695805,2016,,,44.95,
2708248,2013,,73,55,
2708248,2014,,75.375,60,9.86
2708248,2015,,76.75,43,9.975
2708248,2016,,,54.55,
2714481,2014,,,61,
2720461,2011,,,,
2720461,2014,29.75,77.75,62,9.78
2724739,2011,,,,
2724739,2012,,78.875,65,9.38
2724739,2013,,78.75,73,9.45
2724739,2014,,75.375,75,9.57
2724946,2011,,,,
2724946,2012,,,59,
2725268,2011,,,,
2725268,2012,,77.5,67,9.79
2725337,2011,,,,
2725337,2012,,83,58,9.02
2725337,2013,,78,68,9
2725337,2014,,79,61,9.32
2726487,2011,,,,
2726487,2012,,70.875,60,9.87
2726556,2011,,,,
2726556,2012,,75.375,53,10.12
2726832,2011,,,,
2726832,2012,,74,63,9.63
2727890,2011,,,,
2727890,2012,,86.5,57,9
2727890,2013,,85.5,58,9.39
2727890,2014,33,90.875,59,9.07
2727890,2016,32.5,87.5,40.5,9.16
2727890,2017,33.5,89,38,9.12
2728741,2011,,,,
2728741,2012,,66,39,9.71
2728741,2013,,76.75,43.5,9.38
2728810,2011,,,,
2728810,2012,,71.375,58,9.4
2728810,2013,,71,65,9.15
2729224,2011,,,,
2729224,2012,,62.25,43,9.95
2732099,2011,,,,
2732099,2012,,72.125,63,9.63
2732099,2013,,74.75,63,9.66
2732099,2014,,72,67,9.73
2732697,2012,,83.5,54,9.64
2735779,2015,,83.5,62,9.17
2736860,2014,,68.75,51,11.39
2737803,2012,,77.75,40,9.46
2737803,2013,,82.5,51,9.69
2738194,2012,,,52,
2738194,2013,,70,50.5,10.41
2739275,2012,,74.75,40,9.14
2739275,2013,,80.5,45.5,9.08
2739275,2014,,80.5,56,9
2739275,2015,,79.25,31,9.175
2739758,2012,,76.75,71,9.64
2739758,2014,,74.875,73,9.39
2739758,2015,,77.625,62,9.77
2739758,2016,,,67.25,
2740103,2012,23.2,66.9,64.25,9.61
2740103,2013,,66,67,9.64
2740103,2016,,,,
2740977,2016,,,,
2744105,2015,,66.375,31,9.925
2744105,2016,,,39.8,
2744565,2015,,70.25,47,9.675
2767059,2015,,80.75,72.5,9.1
2767404,2013,,65.5,56,9.8
2767611,2013,,81,65,9.04
2767611,2014,36,84.125,74,9.48
2767611,2015,,,58,
2768025,2013,,71.25,58,9.63
2768255,2013,,78,78.5,9.52
2768255,2015,,,60,
2768991,2013,,81.5,69,9.34
2768991,2014,,81.125,72,9.59
2768991,2015,,82.5,56.5,9.115
2769244,2013,,80.25,57,9.28
2769244,2014,29.5,81.25,60,9.34
2769244,2015,29.5,84.25,42,9.29
2769359,2013,,70,62,10.27
2769359,2015,26.5,74.5,52,10.1
2769359,2016,,,61.55,
2769911,2013,,68.5,53,9.42
2769911,2015,,75.625,46.5,9.385
2770509,2013,,70,67.5,9.81
2770509,2014,,69.5,59,10.14
2770509,2016,,,58.8,
2770601,2013,,70,61,9.77
2771222,2013,,73,50,9.68
2771222,2014,30,76.75,64.5,9.95
2771222,2015,,,55,
2771222,2016,,,56.05,
2775730,2013,,75.75,63,9.44
2776075,2013,,71.75,57,9.47
2776075,2014,,72,58,9.23
2776075,2015,,73.25,48,9.305
2777363,2013,,80,54,9.74
2777363,2014,,86,55,9.59
2777363,2015,,85.625,48.5,9.555
2777363,2016,,,58.65,
2778030,2013,,82,57.5,9.47
2778030,2014,28,81.5,61,9.59
2778030,2015,28,83.5,44,9.4
2778030,2016,26.5,85,38,9.03
2782262,2013,,75.5,85,9.73
2782262,2014,32,80.125,77,9.57
2782262,2016,,,79.45,
2782469,2013,,72.5,57.5,9.77
2782469,2014,,73.25,62.5,9.74
2783251,2015,,77.625,32.5,9.205
2783251,2016,,,43.8,
2783320,2014,,,,
2783320,2015,,77.875,50.5,10.31
2783320,2016,,,66,
2792290,2016,,,40.35,
2792819,2016,,,56.85,
2796407,2013,,67,49,10.35
2796407,2014,,69.5,48,9.89
2796407,2015,,75.25,40,9.9
