player_code,year,tpa,sb,avg,slg,avg_exit_speed,hard_hit_perc
386053,2010,668,7,0.289982425,0.506151142,,
2224800,2014,629,26,0.275992439,0.465028355,88.10737855,0.230769231
1254096,2010,616,3,0.268206039,0.408525755,,
2769244,2015,612,12,0.294938918,0.427574171,87.78653192,0.128755365
2215500,2014,612,9,0.268817204,0.344086022,85.91549085,0.16
2694494,2012,610,33,0.278810409,0.384758364,,
2629680,2010,608,12,0.282809612,0.451016636,,
2634602,2010,608,14,0.271914132,0.456171735,,
2694494,2013,608,17,0.231182796,0.374551971,80.59554773,0
2782262,2013,599,10,0.292307692,0.503846154,87.93458678,0.225352113
2682143,2012,598,8,0.258426966,0.486891386,,
2601068,2010,596,17,0.297640653,0.471869328,,
2646401,2010,595,22,0.351626016,0.619918699,,
2634602,2011,592,9,0.265822785,0.432188065,,
2243148,2016,589,8,0.281124498,0.56626506,88.08053391,0.331521739
2629680,2011,588,10,0.269685039,0.43503937,,
2247336,2017,588,1,0.283495146,0.497087379,87.68809745,0.355498721
2898182,2016,587,15,0.301775148,0.447731755,86.34186496,0.13253012
2268516,2017,587,3,0.275793651,0.513888889,88.43911711,0.380062305
2902575,2016,586,24,0.246728972,0.385046729,84.38767277,0.141065831
2475856,2010,585,11,0.291428571,0.44,,
2217336,2017,584,52,0.266917293,0.458646617,86.81207658,0.330900243
2739758,2012,583,1,0.262548263,0.424710425,,
2221674,2017,578,16,0.322701689,0.427767355,87.69369099,0.326086957
2167770,2016,578,0,0.246601942,0.47184466,89.53141473,0.422222222
393367,2010,575,1,0.247600768,0.439539347,,
2271030,2018,574,0,0.284518828,0.579497908,90.31356987,0.456973294
2237478,2016,574,25,0.280961183,0.458410351,87.16538387,0.342857143
2209866,2016,573,2,0.244488978,0.436873747,89.14987487,0.38
2695322,2011,571,20,0.25308642,0.397119342,,
2771222,2014,571,5,0.288930582,0.424015009,84.63718322,0.091286307
386260,2010,570,26,0.268244576,0.479289941,,
2232666,2014,570,17,0.291015625,0.4375,97.41806952,0.8
2233980,2017,570,17,0.288499025,0.389863548,85.71686408,0.252272727
2212254,2016,570,3,0.2734375,0.41015625,87.72372082,0.324519231
2497752,2010,567,7,0.275,0.432692308,,
2514956,2011,567,33,0.240165631,0.308488613,,
2177574,2015,567,15,0.26129666,0.332023576,84.21501203,0.214285714
2214948,2014,567,28,0.276134122,0.388560158,89.05148141,0.317647059
2256738,2016,567,51,0.219607843,0.32745098,84.06468188,0.18705036
862590,2011,564,14,0.314851485,0.457425743,,
2632325,2010,564,29,0.31640625,0.38671875,,
2242308,2016,564,3,0.274900398,0.478087649,90.58190948,0.423529412
1274198,2012,563,14,0.280808081,0.35959596,,
2683201,2013,563,1,0.257874016,0.492125984,86.33665544,0.163716814
